CBO;OCUPACAO;GRUPO_AMOSTRAGEM;ANO;VINCULOS_ATIVOS_31_12;REMUNERACAO_MEDIA_NOMINAL;QTD_REMUNERACOES_VALIDAS;PERCENTUAL_REMUNERACOES_VALIDAS;REGISTROS_CBO;STATUS;ISCO_08;OCUPACAO_ISCO;EXPOSICAO_OIT_2025;SCORE_MEDIO_OIT;SD_OIT;CONFIANCA_CROSSWALK
212405;Analista de desenvolvimento de sistemas;INTERMEDIARIA;2019;184434;7571,20;180207;97,71;247198;OK;2511;Systems Analysts;Gradient 2;0,49;0,05;BOA
212405;Analista de desenvolvimento de sistemas;INTERMEDIARIA;2020;197055;7652,86;193737;98,32;257278;OK;2511;Systems Analysts;Gradient 2;0,49;0,05;BOA
212405;Analista de desenvolvimento de sistemas;INTERMEDIARIA;2021;235474;8139,86;233563;99,19;328459;OK;2511;Systems Analysts;Gradient 2;0,49;0,05;BOA
212405;Analista de desenvolvimento de sistemas;INTERMEDIARIA;2022;262588;10359,98;258656;98,50;354794;OK;2511;Systems Analysts;Gradient 2;0,49;0,05;BOA
212405;Analista de desenvolvimento de sistemas;INTERMEDIARIA;2023;272231;9790,06;267234;98,16;352591;OK;2511;Systems Analysts;Gradient 2;0,49;0,05;BOA
212405;Analista de desenvolvimento de sistemas;INTERMEDIARIA;2024;282365;10389,92;276753;98,01;364398;OK;2511;Systems Analysts;Gradient 2;0,49;0,05;BOA
212420;Analista de suporte computacional;INTERMEDIARIA;2019;92439;4545,26;90298;97,68;123839;OK;2522;Systems Administrators;Gradient 3;0,57;0,05;BOA
212420;Analista de suporte computacional;INTERMEDIARIA;2020;93176;4461,08;91702;98,42;123099;OK;2522;Systems Administrators;Gradient 3;0,57;0,05;BOA
212420;Analista de suporte computacional;INTERMEDIARIA;2021;97780;4694,06;96967;99,17;136205;OK;2522;Systems Administrators;Gradient 3;0,57;0,05;BOA
212420;Analista de suporte computacional;INTERMEDIARIA;2022;104896;5793,92;102567;97,78;144072;OK;2522;Systems Administrators;Gradient 3;0,57;0,05;BOA
212420;Analista de suporte computacional;INTERMEDIARIA;2023;107334;5313,43;105116;97,93;143117;OK;2522;Systems Administrators;Gradient 3;0,57;0,05;BOA
212420;Analista de suporte computacional;INTERMEDIARIA;2024;107789;5460,36;105359;97,75;144208;OK;2522;Systems Administrators;Gradient 3;0,57;0,05;BOA
223505;Enfermeiro;INTERMEDIARIA;2019;295948;4982,19;286600;96,84;370249;OK;2221;Nursing Professionals;Not Exposed;0,25;0,13;FORTE
223505;Enfermeiro;INTERMEDIARIA;2020;328867;4966,24;318128;96,73;434656;OK;2221;Nursing Professionals;Not Exposed;0,25;0,13;FORTE
223505;Enfermeiro;INTERMEDIARIA;2021;354123;5204,94;350450;98,96;484559;OK;2221;Nursing Professionals;Not Exposed;0,25;0,13;FORTE
223505;Enfermeiro;INTERMEDIARIA;2022;369290;6401,55;360015;97,49;493455;OK;2221;Nursing Professionals;Not Exposed;0,25;0,13;FORTE
223505;Enfermeiro;INTERMEDIARIA;2023;408611;6307,57;378844;92,72;518068;OK;2221;Nursing Professionals;Not Exposed;0,25;0,13;FORTE
223505;Enfermeiro;INTERMEDIARIA;2024;427937;6698,23;393897;92,05;555966;OK;2221;Nursing Professionals;Not Exposed;0,25;0,13;FORTE
